Name,Link,Price
PCB,N/A,$2.00
PCB Assembly,N/A,$31.64
JLC Shipping,N/A,$52.31
JLC Total,N/A,$76.95
JST PH Connector,https://www.digikey.com/en/products/detail/jst-sales-america-inc/S3B-PH-K-S/926627,$1.31
DuPont connector,https://www.digikey.com/en/products/detail/amphenol-cs-fci/68604-403HLF/5206799,$1.15
Sk6812 Strip,https://www.digikey.com/en/products/detail/dfrobot/FIT0750/14322609,$23.62
DigiKey Shipping,N/A,$6.99
DigiKey Total,N/A,$37.91
M2 Screws,https://www.aliexpress.com/item/3256806025233809.html,$1.34
M2 Standoffs,https://www.aliexpress.com/item/3256804631738035.html,$2.46
Aliexpress Total,N/A,$3.80
