"Reference","Qty","Value","DNP","Exclude from BOM","LCSC","Footprint","Exclude from Board","Datasheet"
"C1,C2","2","10u","","","C15525","Capacitor_SMD:C_0402_1005Metric","","~"
"C3,C10","2","1u","","","C52923","Capacitor_SMD:C_0402_1005Metric","","~"
"C4,C5,C6,C7,C8,C9,C11,C12,C13,C14,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28","22","100n","","","C1525","Capacitor_SMD:C_0402_1005Metric","","~"
"C15,C16","2","15p","","","C1548","Capacitor_SMD:C_0402_1005Metric","","~"
"C29","1","100u","","","C15008","Capacitor_SMD:C_1206_3216Metric","","~"
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12","12","SK6812","","","C5380878","LED_SMD:LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm","","https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf"
"H1,H2,H3,H4,H5,H6,H7,H8","8","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2_Pad","","~"
"J1","1","TYPE-C-31-M-12","","","C165948","usb-c:HRO_TYPE-C-31-M-12","",""
"J2","1","PWM Input","","Excluded from BOM","","Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal","","~"
"J3","1","NeoPixel Connector","","Excluded from BOM","","Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal","","~"
"J4","1","Light Bar Connector (main)","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","~"
"J5","1","Light Bar Connector (daughter)","DNP","Excluded from BOM","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","~"
"R1,R2","2","5.1k","","","C25905","Resistor_SMD:R_0402_1005Metric","","~"
"R3,R4","2","1k","","","C11702","Resistor_SMD:R_0402_1005Metric","","~"
"R5","1","470","","","C25117","Resistor_SMD:R_0402_1005Metric","","~"
"R6","1","4.7k","","","C25900","Resistor_SMD:R_0402_1005Metric","","~"
"R7,R8","2","27","","","C25100","Resistor_SMD:R_0402_1005Metric","","~"
"R9","1","10k","","","C25744","Resistor_SMD:R_0402_1005Metric","","~"
"SW1","1","SW_Push","","","C720477","TS-1088-AR02016:SW_TS-1088_XNP-L","","~"
"U1","1","RP2040","","","C2040","RP2040_minimal_r2:RP2040-QFN-56","",""
"U2","1","NCP1117-3.3_SOT223","","","C26537","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF"
"U3","1","W25Q128JVS","","","C97521","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"U4","1","LTV-357T","","","C119089","LTV-357T:LTV-357T_LTO","","https://www.buerklin.com/medias/sys_master/download/download/h91/ha0/8892020588574.pdf"
"X1","1","ABM8-272-T3","","","C20625731","footprints:ABM8-272-T3_ABR","","ABM8-272-T3"
