Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10u,C15525
"C10, C3",0402,2,1u,C52923
"C11, C12, C13, C14, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C4, C5, C6, C7, C8, C9",0402,22,100n,C1525
"C15, C16",0402,2,15p,C1548
C29,1206,1,100u,C15008
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,12,SK6812,C5380878
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
"R1, R2",0402,2,5.1k,C25905
"R3, R4",0402,2,1k,C11702
R5,0402,1,470,C25117
R6,0402,1,4.7k,C25900
"R7, R8",0402,2,27,C25100
R9,0402,1,10k,C25744
SW1,SW_TS-1088_XNP-L,1,SW_Push,C720477
U1,RP2040-QFN-56,1,RP2040,C2040
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C26537
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U4,LTV-357T_LTO,1,LTV-357T,C119089
X1,ABM8-272-T3_ABR,1,ABM8-272-T3,C20625731
